127.0.0.1 - - [20/May/2024:19:09:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Home.jsp HTTP/1.1" 200 6148
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/JS/sl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/title1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/CSS/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/doctor.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/JS/searchBar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/onlineDoc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/car1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/appstore.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/playstore.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/app.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/email.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/phone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/insta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:19:12:48 +0530] "GET /echanneling/Images/facebook.png HTTP/1.1" 304 -
